# t x y z velocityx velocityy velocityz
1.587410000000000082e+03 0.000000000000000000e+00 0.000000000000000000e+00 -2.165683378293896399e-02 -1.047413705298850251e-01 4.169534023254387045e-03 2.559636174433908840e-03
1.587450000000000045e+03 0.000000000000000000e+00 0.000000000000000000e+00 -2.172088457829023100e-02 -1.009635308299408479e-01 2.366225383466590091e-03 2.665917607992913246e-02
1.587490000000000009e+03 0.000000000000000000e+00 0.000000000000000000e+00 -2.095388851820473644e-02 -9.109470101294846189e-02 4.096085028356722529e-03 5.429491931631019036e-02
1.587519999999999982e+03 0.000000000000000000e+00 0.000000000000000000e+00 -1.852290746367257421e-02 -5.214095355416345501e-02 1.566437958797662483e-02 7.245007290125339561e-02
1.587559999999999945e+03 0.000000000000000000e+00 0.000000000000000000e+00 -1.705498216384694621e-02 -4.899634458816862909e-03 1.207629622755243201e-02 5.836845654461610827e-02
1.587599999999999909e+03 0.000000000000000000e+00 0.000000000000000000e+00 -1.342960300190973108e-02 6.893935180977951716e-03 1.496004100054406684e-02 6.245038939680816470e-02
1.587630000000000109e+03 0.000000000000000000e+00 0.000000000000000000e+00 -9.756146271762222363e-03 1.733479539890108584e-02 1.705930451765736572e-02 6.939937721095945644e-02
1.587670000000000073e+03 0.000000000000000000e+00 0.000000000000000000e+00 -6.233347521224464824e-03 2.049899672501447750e-02 1.391288593040337744e-02 8.147199849918923542e-02
1.587700000000000045e+03 0.000000000000000000e+00 0.000000000000000000e+00 -2.160070493162413729e-03 3.502113868780650646e-02 1.350437178511861708e-02 1.092861518209887195e-01
1.587740000000000009e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.300840504857839284e-03 9.455116348733616505e-02 6.894916002922955346e-03 1.238480490782269683e-01
1.587769999999999982e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.356776194669184143e-03 1.328614825163424717e-01 -1.216654850341192598e-03 9.490486967413794273e-02
1.587809999999999945e+03 0.000000000000000000e+00 0.000000000000000000e+00 7.861269556764584679e-03 1.381202658292382257e-01 -5.148036929864237624e-03 7.068214599447807112e-02
1.587839999999999918e+03 0.000000000000000000e+00 0.000000000000000000e+00 9.588423708186856811e-03 1.388217344132925968e-01 -4.694209430165133083e-03 4.390356956081150480e-02
1.587869999999999891e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.088272360977652481e-02 1.270292619104839149e-01 -2.584701142610237000e-03 1.706842960198493714e-02
1.587900000000000091e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.148623825715993675e-02 1.197243843725949303e-01 -9.101495785820308809e-04 -9.560803031946153718e-03
1.587940000000000055e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.081721836047945008e-02 1.187853010292752309e-01 8.676391012869197339e-04 -3.522403554684427202e-02
1.587970000000000027e+03 0.000000000000000000e+00 0.000000000000000000e+00 9.863105644791578253e-03 1.151761634875699963e-01 2.891351016788508855e-03 -5.445260903486978665e-02
1.588000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 8.019542697494190173e-03 1.010717594455363549e-01 4.466097409031545215e-03 -6.529213356855888273e-02
1.588039999999999964e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.179823216174900963e-03 7.642662809303946148e-02 3.904627574491552344e-03 -6.982880258912343985e-02
1.588069999999999936e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.267867412557556493e-03 3.767265952697215758e-02 1.828315792102451400e-04 -7.837720122639811604e-02
1.588099999999999909e+03 0.000000000000000000e+00 0.000000000000000000e+00 -2.476177923143099702e-04 -1.649570045099466031e-02 -9.114811609925234023e-03 -9.513502849430462149e-02
1.588130000000000109e+03 0.000000000000000000e+00 0.000000000000000000e+00 -1.918234304517599936e-03 -5.269798081167083315e-02 -1.950830527233059219e-02 -7.295006933873669774e-02
1.588170000000000073e+03 0.000000000000000000e+00 0.000000000000000000e+00 -4.231347960814873729e-03 -3.653058008054716616e-02 -1.250779246653600796e-02 -7.638811719783979159e-02
1.588200000000000045e+03 0.000000000000000000e+00 0.000000000000000000e+00 -6.643782672766884723e-03 -2.367611619676511514e-02 -7.395917151991584365e-03 -6.654059777987753055e-02
1.588230000000000018e+03 0.000000000000000000e+00 0.000000000000000000e+00 -9.273762181200722460e-03 -2.010850247748163788e-02 -2.984931451333856268e-03 -5.728541573622950717e-02
1.588269999999999982e+03 0.000000000000000000e+00 0.000000000000000000e+00 -1.169582813019121037e-02 -3.596173766086094986e-02 5.763246140075895842e-04 -5.084381125640281829e-02
1.588299999999999955e+03 0.000000000000000000e+00 0.000000000000000000e+00 -1.369353789389201118e-02 -5.194616410843513887e-02 5.910893411824456878e-03 -4.435627295533475789e-02
1.588329999999999927e+03 0.000000000000000000e+00 0.000000000000000000e+00 -1.482571493328783095e-02 -6.328100263110965351e-02 1.108258684707534580e-02 -3.600298206300112797e-02
1.588359999999999900e+03 0.000000000000000000e+00 0.000000000000000000e+00 -1.529646842654083100e-02 -6.415405325583037333e-02 1.079387986880225164e-02 -2.805169892277520338e-02
1.588400000000000091e+03 0.000000000000000000e+00 0.000000000000000000e+00 -1.529090176172656114e-02 -5.710451663976238296e-02 4.267502368897125361e-04 -1.024272742621739653e-02
1.588430000000000064e+03 0.000000000000000000e+00 0.000000000000000000e+00 -1.482286494110211447e-02 -4.554748019412185878e-02 -1.104973913727627134e-02 2.908993465681491628e-02
1.588460000000000036e+03 0.000000000000000000e+00 0.000000000000000000e+00 -1.347657182301757045e-02 -2.629809271941208060e-02 -1.398349156364776802e-02 5.479792232048999456e-02
1.588490000000000009e+03 0.000000000000000000e+00 0.000000000000000000e+00 -1.176871954620198682e-02 -9.269190804408581480e-03 -1.145226068960373232e-02 7.187332830512745130e-02
1.588529999999999973e+03 0.000000000000000000e+00 0.000000000000000000e+00 -9.540471508907485618e-03 4.524991684922931648e-03 -6.952122601140406366e-03 8.507624534896839064e-02
1.588559999999999945e+03 0.000000000000000000e+00 0.000000000000000000e+00 -6.688088304282560972e-03 -7.551154359881247224e-04 -4.856479834825609167e-03 9.434959189793326595e-02
1.588589999999999918e+03 0.000000000000000000e+00 0.000000000000000000e+00 -3.277017479453433677e-03 -3.507840632628621280e-03 -5.789397887284681438e-03 1.068269309450381871e-01
1.588619999999999891e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.581329196599044206e-04 4.279908087376034509e-02 -1.542006707271876111e-03 1.150214315163707590e-01
1.588650000000000091e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.118590825377352500e-03 9.101987872853689598e-02 -1.808489888671201877e-03 9.865733205414091433e-02
1.588680000000000064e+03 0.000000000000000000e+00 0.000000000000000000e+00 7.432099206948284201e-03 1.091905933980404919e-01 -3.218610517149898213e-03 9.154602193174159186e-02
1.588710000000000036e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.021431579167954642e-02 1.116313863041918375e-01 -3.802597312422557017e-03 7.824495033885077444e-02
1.588740000000000009e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.251652092565993211e-02 9.391001471778767651e-02 -3.409235179250267450e-03 6.212889211107264220e-02
1.588769999999999982e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.420532742851355647e-02 8.251699472763439347e-02 -2.919019551725909878e-03 4.484257716084830842e-02
1.588809999999999945e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.533595123956237732e-02 7.639329152772114662e-02 -2.520368125257869876e-03 2.798364268642712302e-02
1.588839999999999918e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.596795393761051007e-02 7.461146888321042170e-02 -2.257651971374772561e-03 1.247353673760933507e-02
1.588869999999999891e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.616320003629631574e-02 7.626766730813810957e-02 -2.081602275422002584e-03 -1.222418887405126667e-03
1.588900000000000091e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.590810385460954268e-02 8.053034557059379761e-02 -1.897941001219053065e-03 -1.318354838148003139e-02
1.588930000000000064e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.531733995628499143e-02 8.605841680620671119e-02 -1.535537148609785298e-03 -2.275124698542025162e-02
1.588970000000000027e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.438745783850293135e-02 9.178953766829159311e-02 -1.247872552280693530e-03 -3.049236649903533034e-02
1.589000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.322364131042309994e-02 9.528574110561716104e-02 -8.233710096105354998e-04 -3.646925449788870205e-02
1.589029999999999973e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.183312691142813546e-02 9.543829842719933620e-02 -5.587038893064925080e-04 -4.067241313128339142e-02
1.589059999999999945e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.033410564832209881e-02 9.153405720740372120e-02 -5.134436908879287187e-04 -4.239132199397642464e-02
1.589099999999999909e+03 0.000000000000000000e+00 0.000000000000000000e+00 8.761567961894350248e-03 8.141595610663070193e-02 -7.735922765461101516e-04 -4.063004385244931016e-02
1.589130000000000109e+03 0.000000000000000000e+00 0.000000000000000000e+00 7.311116861458068390e-03 6.796703627027926575e-02 -1.164826016831235073e-03 -3.484315346155656551e-02
1.589160000000000082e+03 0.000000000000000000e+00 0.000000000000000000e+00 6.269726259875717939e-03 5.638754652185057337e-02 -1.366558095567751117e-03 -2.680290874536809392e-02
